Fighter,Wins,Losses,Stance,Weight Class,Total Rounds Fought,Title fights,KOs,Submissions,TKO/DoctorStoppage,age,Gender,Height,Weight,Reach,WinRate
Livinha Souza,3,2,Orthodox,Women's Strawweight,11,0,0,1,0,30,FEMALE,160.02,115,160.02,0.6
Ryan Hall,4,1,Southpaw,Featherweight,11,1,0,1,0,36,MALE,177.8,145,177.8,0.8
Justin Salas,3,3,Southpaw,Lightweight,11,0,1,0,0,33,MALE,172.72,155,177.8,0.5
Jorge Santiago,1,4,Orthodox,Welterweight,11,0,1,0,0,32,MALE,185.42,170,187.96,0.2
Journey Newson,1,3,Orthodox,Catch Weight,11,0,0,0,0,34,MALE,165.1,135,170.18,0.25
Hunter Azure,3,1,Orthodox,Bantamweight,11,0,0,0,0,29,MALE,172.72,145,175.26,0.75
Daniel Teymur,1,3,Orthodox,Featherweight,11,0,0,0,0,31,MALE,165.1,145,175.26,0.25
Ihor Potieria,3,4,Southpaw,Middleweight,11,0,2,0,0,28,MALE,190.5,185,190.5,0.429
Tom Breese,5,2,Southpaw,Middleweight,11,0,4,0,0,29,MALE,190.5,185,185.42,0.714
Eliot Marshall,3,2,Orthodox,Light Heavyweight,11,0,0,1,0,31,MALE,187.96,205,195.58,0.6
Damien Brown,2,3,Orthodox,Lightweight,11,0,1,0,0,33,MALE,177.8,155,172.72,0.4
Brock Lesnar,4,2,Orthodox,Heavyweight,11,4,2,1,0,34,MALE,190.5,265,205.74,0.667
Jason Saggo,3,2,Orthodox,Lightweight,11,0,2,0,0,31,MALE,180.34,155,180.34,0.6
Yan Cabral,2,2,Orthodox,Lightweight,11,0,0,1,0,32,MALE,180.34,155,185.42,0.5
Shavkat Rakhmonov,6,0,Orthodox,Welterweight,11,0,1,5,0,30,MALE,185.42,170,195.58,1.0
Adriano Martins,4,2,Southpaw,Lightweight,11,0,2,1,0,34,MALE,177.8,155,182.88,0.667
Ailin Perez,3,1,Switch,Women's Bantamweight,11,0,0,0,0,29,FEMALE,165.1,135,167.64,0.75
Melissa Gatto,2,2,Orthodox,Women's Bantamweight,11,0,2,0,0,28,FEMALE,165.1,135,175.26,0.5
Brad Blackburn,3,1,Orthodox,Welterweight,11,0,1,0,0,32,MALE,177.8,170,185.42,0.75
Piera Rodriguez,3,1,Orthodox,Women's Strawweight,11,0,0,0,0,31,FEMALE,160.02,115,160.02,0.75
Philipe Lins,3,2,Orthodox,Light Heavyweight,11,0,1,0,0,38,MALE,187.96,205,198.12,0.6
Jack Jenkins,3,1,Switch,Featherweight,11,0,1,0,0,30,MALE,170.18,145,172.72,0.75
Caio Magalhaes,4,2,Orthodox,Middleweight,11,0,2,1,0,28,MALE,185.42,185,185.42,0.667
James Irvin,4,5,Orthodox,Light Heavyweight,11,0,3,0,0,31,MALE,187.96,205,190.5,0.444
Viktor Pesta,1,3,Orthodox,Heavyweight,11,0,0,0,0,26,MALE,190.5,240,195.58,0.25
Maxim Grishin,2,2,Orthodox,Light Heavyweight,11,0,1,0,0,39,MALE,190.5,205,198.12,0.5
Nikolas Motta,3,2,Orthodox,Lightweight,11,0,2,0,0,31,MALE,175.26,155,177.8,0.6
Dustin Pague,1,4,Orthodox,Bantamweight,11,0,0,1,0,26,MALE,175.26,135,187.96,0.2
Alessandro Costa,2,2,Orthodox,Flyweight,11,0,1,0,0,28,MALE,162.56,125,170.18,0.5
Iasmin Lucindo,3,1,Orthodox,Women's Flyweight,11,0,0,1,0,22,FEMALE,160.02,115,167.64,0.75
Aleksa Camur,2,2,Orthodox,Light Heavyweight,11,0,1,0,0,27,MALE,185.42,205,187.96,0.5
Elves Brener,3,1,Orthodox,Lightweight,10,0,2,0,0,26,MALE,177.8,155,182.88,0.75
Cody Mckenzie,3,3,Switch,Lightweight,10,0,0,2,0,25,MALE,182.88,155,182.88,0.5
David Zawada,1,3,Orthodox,Welterweight,10,0,0,1,0,31,MALE,182.88,170,190.5,0.25
Julia Avila,3,1,Orthodox,Women's Bantamweight,10,0,1,1,0,35,FEMALE,170.18,135,172.72,0.75
Gloria De Paula,2,2,Orthodox,Women's Strawweight,10,0,0,0,0,27,FEMALE,165.1,115,170.18,0.5
Justin Willis,4,0,Southpaw,Heavyweight,10,0,1,0,0,31,MALE,185.42,264,198.12,1.0
Jeremiah Wells,4,1,Switch,Welterweight,10,0,2,1,0,37,MALE,175.26,170,187.96,0.8
Jose Johnson,2,2,Orthodox,Flyweight,10,0,0,1,0,29,MALE,182.88,125,180.34,0.5
Magnus Cedenblad,4,1,Orthodox,Middleweight,10,0,1,2,0,34,MALE,195.58,185,200.66,0.8
Matt Grice,2,4,Orthodox,Featherweight,10,0,0,0,0,31,MALE,172.72,145,177.8,0.333
Ronda Rousey,6,1,Orthodox,Women's Bantamweight,10,7,3,3,0,29,FEMALE,170.18,135,172.72,0.857
Uros Medic,4,2,Southpaw,Welterweight,10,0,4,0,0,31,MALE,185.42,170,180.34,0.667
Aj Dobson,2,2,Orthodox,Middleweight,10,0,0,1,0,32,MALE,185.42,185,193.04,0.5
Daniel Sarafian,2,3,Orthodox,Middleweight,10,0,1,1,0,33,MALE,175.26,185,185.42,0.4
Lyman Good,3,2,Orthodox,Welterweight,10,0,3,0,0,35,MALE,182.88,170,187.96,0.6
Daniel Marcos,3,0,Orthodox,Bantamweight,10,0,1,0,0,31,MALE,170.18,135,175.26,1.0
Cheyanne Vlismas,3,1,Switch,Women's Strawweight,10,0,1,0,0,27,FEMALE,160.02,115,160.02,0.75
Josiane Nunes,3,1,Southpaw,Women's Bantamweight,10,0,1,0,0,30,FEMALE,157.48,135,170.18,0.75
